#	9.640241e-001	3.597590e-002
A	9.203371e-001	7.966289e-002
C	9.279833e-001	7.201665e-002
D	8.928473e-001	1.071527e-001
E	8.926654e-001	1.073347e-001
I	8.722754e-001	1.277246e-001
J	8.964596e-001	1.035404e-001
N	9.244380e-001	7.556197e-002
Q	8.987584e-001	1.012417e-001
R	8.998388e-001	1.001612e-001
S	9.199215e-001	8.007846e-002
T	9.019083e-001	9.809167e-002
U	9.153001e-001	8.469991e-002
Z	9.051061e-001	9.489396e-002
a	8.415297e-001	1.584703e-001
b	8.766115e-001	1.233885e-001
c	9.047005e-001	9.529954e-002
d	8.256631e-001	1.743369e-001
e	7.952084e-001	2.047916e-001
f	8.646016e-001	1.353985e-001
g	8.777902e-001	1.222098e-001
h	8.384351e-001	1.615649e-001
i	8.477321e-001	1.522680e-001
j	8.472841e-001	1.527159e-001
k	8.857309e-001	1.142691e-001
l	8.322641e-001	1.677360e-001
m	8.740603e-001	1.259398e-001
n	8.649311e-001	1.350689e-001
o	8.027377e-001	1.972623e-001
p	8.552309e-001	1.447691e-001
r	8.175806e-001	1.824194e-001
s	9.004099e-001	9.959010e-002
t	8.546514e-001	1.453486e-001
u	8.795969e-001	1.204031e-001
v	8.211191e-001	1.788809e-001
x	9.023967e-001	9.760327e-002
y	9.174369e-001	8.256314e-002
z	8.790226e-001	1.209774e-001
